ticker,group,volatility_pct,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,old_original_sharpe,old_multiscale_sharpe,improvement_vs_original,improvement_vs_multiscale,timestamp
GOOGL,MEDIUM,2.031963150285049,603,151,89,0.4078682863812937,-0.012046348271704622,0.04133026072832945,0.04425960306471284,5.773109878995069,7.89716375612943,0.01547189346213446,0.042543568305565806,0.6556291390728477,-0.41934638909198424,151,0.1080750210652532,1.523346856632802,5.665034857929816,4.249763022362267,2025-10-31 16:28:06
CAT,MEDIUM,1.8576339376720683,603,151,89,0.3497467621939022,-0.11395994103412067,0.038704340764880676,0.04550477346031661,5.6316986501786,7.884272337841635,0.015553189258769357,0.04384098663161219,0.6887417218543046,-0.577150214857788,151,3.951969998182327,-0.6120412387793862,1.6797286519962729,6.243739888957986,2025-10-31 16:28:08
GE,MEDIUM,1.9167381687281693,603,151,89,0.3374997328245921,0.28505566054769943,0.034774914418929964,0.044877440924213814,5.29562521311066,7.038523283987191,0.014925458017115327,0.044741516094368515,0.6821192052980133,-0.585622035227621,151,5.728437481653987,5.29562521311066,-0.4328122685433273,0.0,2025-10-31 16:28:07
AVGO,MEDIUM,2.779317067902655,603,151,89,0.6599443622142629,0.2370314156244867,0.048911287115514394,0.06196670222172691,5.169339486418263,16.56182763208053,0.021213077562728486,0.06514317110040459,0.680672268907563,-0.6512644959304559,119,3.2157737414263963,3.704071929830005,1.9535657449918666,1.465267556588258,2025-10-31 16:28:03
MSFT,MEDIUM,1.6907204620808964,603,151,89,,,0.031853847862780636,0.032840281869600293,5.071492988819209,3.3754754259324775,0.010334909007670782,0.03234976262460882,0.6887417218543046,-0.29674774019901473,151,2.978430865493685,5.071492988819209,2.0930621233255238,0.0,2025-10-31 16:28:10
V,LOW,1.4524825252355429,603,151,185,0.7093597736450905,0.2244078014350749,0.01990085983180832,0.02958508996632556,4.207635574941193,2.025618369996328,0.007787093750321019,0.029379036942260853,0.6132075471698113,-0.23292193861434274,106,-1.101616229780803,0.8108058053189682,5.309251804721996,3.396829769622225,2025-10-31 16:28:17
JPM,MEDIUM,1.566522690693575,603,151,89,0.2368756099899471,0.2528402776198155,0.03075185240329885,0.03449813518660284,3.9882418502690538,2.3657736899178525,0.008671937237982293,0.03451714842515932,0.6556291390728477,-0.44766181380651304,151,1.2924591217337382,2.6054860384706497,2.6957827285353155,1.382755811798404,2025-10-31 16:28:12
RTX,MEDIUM,1.5251688942920796,603,151,89,,,0.03010945138614618,0.038964530017473395,3.7473037309174964,2.5228032908464506,0.009119433824525059,0.03863218313210464,0.6423841059602649,-0.40745411202865145,151,4.763146159574153,3.747303730917496,-1.0158424286566565,4.440892098500626e-16,2025-10-31 16:28:13
ORCL,MEDIUM,2.5387936658639805,603,151,89,0.49784753310034285,0.08339430602957214,0.04401490934725408,0.0886425409702376,3.5514893972670754,10.085760403996453,0.019470785883161316,0.08703085074809476,0.654320987654321,-0.6230802831366573,81,3.053296675438092,0.0439899910212136,0.4981927218289832,3.5074994062458615,2025-10-31 16:28:04
PEP,LOW,1.1677885304955706,603,151,185,0.6638505325123664,0.20480367492076545,0.01974571166985251,0.029927221853379107,3.473214929958049,1.4524311812993465,0.006377270848640802,0.02914764513408767,0.4883720930232558,-0.45984458621731306,129,-0.4095024869717959,-0.6943241916162812,3.882717416929845,4.16753912157433,2025-10-31 16:28:22
NFLX,MEDIUM,2.8672954044214407,603,151,89,0.4769832080474662,0.17145775748556413,0.046401798276610055,0.045321546083207424,3.285897361769912,2.3092676844731472,0.008852637295711108,0.04276800061501195,0.5827814569536424,-0.4470431979759681,151,4.379679460214441,2.264197392987626,-1.093782098444529,1.0216999687822863,2025-10-31 16:28:03
NVDA,HIGH,3.451985277592219,808,203,80,0.5105232509112112,0.14376033889371476,0.0685729154737387,0.06570646168930445,3.2822330208292856,9.091079870435292,0.013605309730777325,0.0658020301956791,0.6542553191489362,-0.8048668518519382,188,3.97469249024272,2.976592644205228,-0.6924594694134343,0.30564037662405763,2025-10-31 16:28:01
BLK,MEDIUM,1.704180322290465,603,151,89,0.30036582454105637,0.09116171982943123,0.031865140733667904,0.03528507142037556,3.1757113077237618,1.6312876252640174,0.007065500738675713,0.03531849598018654,0.6754966887417219,-0.49485356935704955,151,-0.1085322129030447,3.1757113077237618,3.2842435206268066,0.0,2025-10-31 16:28:10
BAC,MEDIUM,1.7460001538561545,603,151,89,0.2559269222659803,0.1234060161998109,0.03809471805478172,0.042442639545172293,3.1649670005050385,2.0771376173356386,0.008388619844696,0.04207475518433903,0.6688741721854304,-0.6043296030485139,151,-1.6684590729190107,3.1649670005050385,4.833426073424049,0.0,2025-10-31 16:28:09
META,MEDIUM,2.89843316481685,603,151,89,0.5084143688285808,0.15389023795050827,0.045110982315755645,0.049674612302730285,2.9081341011845145,2.226329112567107,0.008980331485407346,0.04902055333342472,0.593103448275862,-0.585141014314305,145,0.0318438684762097,0.697426864812454,2.8762902327083046,2.210707236372061,2025-10-31 16:28:03
DIS,MEDIUM,1.8960791195571476,603,151,89,0.3404177059377686,0.26329879223089064,0.037448491163995415,0.047620181799764516,2.503978451345625,1.645860052697207,0.007547536485320919,0.04784922459843327,0.7222222222222222,-0.4398281611660626,18,4.509855430065385,2.503978451345625,-2.00587697871976,0.0,2025-10-31 16:28:08
HD,MEDIUM,1.5343487507043538,603,151,89,,,0.03180589767526094,0.027480629003029798,2.189567789117302,0.6716971308488453,0.0037868621468885306,0.027454995108391535,0.5827814569536424,-0.3988666598518332,151,0.0826303661442801,2.189567789117302,2.106937422973022,0.0,2025-10-31 16:28:12
