ticker,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,timestamp
GE,808,203,124,0.4517902023924636,-0.16477669424811772,0.03951175065636527,0.04471531418659555,5.728437481653987,18.310903030447776,0.015648101980111604,0.043363643013101937,0.6945812807881774,-0.5996790383176209,3,2025-10-31 16:24:03
RTX,808,203,124,0.3002986889347767,-0.024530698249451206,0.03156661755796925,0.039542482472331345,4.763146159574153,7.770813843861129,0.011479659864197708,0.038259155758082475,0.645320197044335,-0.40745411202865145,2,2025-10-31 16:24:06
DIS,808,203,124,0.44364941903807653,0.2115686968868194,0.04042799781516948,0.044118299253229874,4.509855430065385,9.40718267581954,0.012527808645111068,0.04409737739254543,0.6212121212121212,-0.31717084390390843,1,2025-10-31 16:24:09
NFLX,808,203,124,0.587328643274042,0.20616170255042485,0.050307555679011184,0.05881431597552309,4.379679460214441,10.974020780829447,0.013458492661516566,0.04878141187403313,0.7608695652173914,-0.5415733771438641,2,2025-10-31 16:24:00
SCHW,808,203,124,0.5474997615497478,0.1774777673462039,0.04270039990283202,0.04057155250997679,4.207624651246654,4.670695449577354,0.009171407169164949,0.034601844822259885,0.8888888888888888,-0.5208552589164015,1,2025-10-31 16:24:12
ABBV,808,203,124,0.3611647597184289,0.17507047188736316,0.03081270483237026,0.0439624774911669,4.175599212265453,5.552111429295651,0.010007355235964093,0.03804527957290632,0.6693548387096774,-0.48655010437275215,1,2025-10-31 16:24:01
NVDA,808,203,124,0.7633820576542426,0.24216593665613756,0.054490327098603054,0.06478542242872876,3.9746924902427194,16.529798939986957,0.016320338419554596,0.06518173198538572,0.6759776536312849,-0.6918294284467816,2,2025-10-31 16:23:54
CAT,808,203,124,0.4030623687019392,0.21102974299623373,0.041124810832029575,0.04578192088768437,3.951969998182327,7.137350254160657,0.011448136483743003,0.04598555473605398,0.61,-0.8087323897550528,2,2025-10-31 16:24:05
IBM,808,203,124,0.2545249641757763,,0.032467714221163915,0.044640222379840194,3.2966456693953385,4.2757378623479285,0.009182177543979956,0.04421541295920112,0.5960591133004927,-0.6448976079080676,1,2025-10-31 16:24:04
CRM,808,203,124,0.5970112503731967,0.22113049439085217,0.04669901173168063,0.04149133380404376,3.2264769016127683,3.6517791032337685,0.008465928490849865,0.04165300187244297,0.5714285714285714,-0.6425610275876132,0,2025-10-31 16:24:06
AVGO,808,203,124,0.5955102515570313,0.23638891625382147,0.04777400542458211,0.0702351551396911,3.2157737414263963,9.391839218948093,0.013928913834494948,0.0687593935442256,0.6059113300492611,-0.8846253325093927,2,2025-10-31 16:23:56
ORCL,808,203,124,0.3269880541394022,-0.004863503461494307,0.04315369481725624,0.08339299089735842,3.053296675438092,12.092731751093796,0.015857923597177456,0.08244751809184955,0.5665024630541872,-0.8044549420496996,3,2025-10-31 16:23:59
MSFT,808,203,124,,,0.03544293001588478,0.03340899581018118,2.9784308654936855,2.159419702214707,0.006226815468235401,0.033187821237765126,0.6305418719211823,-0.6215371563515311,1,2025-10-31 16:23:55
CSCO,808,203,124,,,0.03160774788129807,0.0316986855340214,2.7080338367080117,1.6700574267439703,0.005351680958950719,0.03137158049122994,0.6059113300492611,-0.5395387479544719,1,2025-10-31 16:24:05
PM,808,203,124,0.3461435335072302,,0.029504090618273908,0.04042788870450188,2.421671527512453,1.9260012245245428,0.006098061212305122,0.03997392692802044,0.5714285714285714,-0.6306118170891833,1,2025-10-31 16:24:07
KO,808,203,124,,,0.022273839588588158,0.023849969599183448,2.221036086951288,0.8530635550939207,0.0033202285188423455,0.023730813763100756,0.4827586206896552,-0.3957113203150052,0,2025-10-31 16:24:04
T,808,203,124,0.2497537688349583,0.08579895272520321,0.034329368686018776,0.030331482542788425,1.7559082885548867,0.7953995146424622,0.0033463314451464905,0.030252926759197014,0.5688622754491018,-0.41649097334479507,0,2025-10-31 16:24:11
WMT,808,203,124,0.06467457842189145,,0.027838769493171867,0.03711883487945292,1.6773995409880644,0.92478308013534,0.003921582012408877,0.03711291375935316,0.5763546798029556,-0.635120928768953,0,2025-10-31 16:23:58
ABT,808,203,124,,,0.030199949607054383,0.03077013252950472,1.559859172674143,0.6754827568397996,0.003010121453075548,0.030633660732148595,0.5270935960591133,-0.41110767543950066,0,2025-10-31 16:24:08
TMO,808,203,124,0.2817042679824051,0.09658791105991724,0.034041969974301325,0.04838833949068679,1.541429065287467,1.060278065653061,0.004705438397692945,0.0484592645494512,0.46153846153846156,-0.7764994900677733,0,2025-10-31 16:24:09
LLY,808,203,124,0.4017965883025117,0.32143098457439123,0.03892975639362492,0.06035062387699864,1.3546311302759488,0.9711942745742239,0.005278061275937748,0.06185198565980193,0.572139303482587,-0.797381848819647,0,2025-10-31 16:23:58
JPM,808,203,124,0.30749102835769376,0.057548133977178964,0.034240345571393736,0.03760431571206474,1.2924591217337382,0.6152226990781977,0.003105854717801951,0.03814736908929575,0.6473684210526316,-0.6837571993593075,0,2025-10-31 16:23:58
BRK-B,808,203,124,,,0.025102609838380342,0.024040021891444153,1.269651411736102,0.3927742935367806,0.0019203274548527688,0.02400993926861905,0.5073891625615764,-0.5045568642201498,0,2025-10-31 16:23:57
CVX,808,203,124,0.383317234416191,0.14724724847839119,0.03433116687985645,0.037017790605614845,1.2057493762082736,0.5278536152966955,0.002800664528958015,0.03687264698064167,0.5977653631284916,-0.6557667491450927,0,2025-10-31 16:24:04
