ticker,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,old_sharpe,old_test_corr,old_win_rate,sharpe_improvement,corr_improvement,timestamp
GE,603,151,185,0.49036012950387836,0.28066879516940646,0.03379164992845891,0.044389253082177546,5.29562521311066,7.038523283987191,0.014925458017115327,0.044741516094368515,0.6821192052980133,-0.585622035227621,151,5.728437481653987,-0.1647766942481177,0.6945812807881774,-0.4328122685433273,0.44544548941752415,2025-10-31 16:27:43
MSFT,603,151,185,0.3135067888793932,0.1102815174473094,0.031558803433254616,0.03294173845333491,5.071492988819209,3.3754754259324775,0.010334909007670782,0.03234976262460882,0.6887417218543046,-0.29674774019901473,151,2.978430865493685,,0.6305418719211823,2.0930621233255238,,2025-10-31 16:27:30
AXP,603,151,185,0.27305888447258864,0.05771537225783037,0.0359408012753634,0.04326639980527884,3.866681950598514,3.198392252655178,0.010475657287794628,0.04300739138757852,0.5894039735099338,-0.47935303428151127,151,-0.8600606063092262,-0.1603539599996186,0.5108695652173914,4.72674255690774,0.21806933225744896,2025-10-31 16:27:48
WMT,603,151,185,0.1975508266060985,0.05063458900124321,0.02565085356425299,0.03208359993926258,3.755128917442597,1.8959670219777705,0.007565219911832217,0.031981363527492805,0.5906040268456376,-0.30703331508255005,149,1.6773995409880644,,0.5763546798029556,2.0777293764545326,,2025-10-31 16:27:35
RTX,603,151,185,,,0.03010945138614618,0.038964530017473395,3.7473037309174964,2.5228032908464506,0.009119433824525059,0.03863218313210464,0.6423841059602649,-0.40745411202865145,151,4.763146159574153,-0.0245306982494512,0.645320197044335,-1.0158424286566565,,2025-10-31 16:27:49
AVGO,603,151,185,0.6837923059428301,0.2728254013264897,0.04679802169086408,0.06705306048663678,3.7040719298300044,6.480546658203692,0.015567593164972367,0.06671789447928365,0.6941176470588235,-0.6710338271185162,85,3.2157737414263963,0.2363889162538214,0.6059113300492611,0.48829818840360817,0.03643648507266828,2025-10-31 16:27:32
JNJ,603,151,185,,,0.02209533201389435,0.025826904105745393,3.6972764372960603,1.3055370858770439,0.005866263913827807,0.02518720312795155,0.6490066225165563,-0.3567635739866097,151,-4.523282426654036,,0.0,8.220558863950096,,2025-10-31 16:27:39
INTC,603,151,185,0.745895097814781,-0.03297898510426163,0.04910869384418205,0.10504271014615199,3.630627739002271,8.256453719488862,0.017735050918041173,0.07754449796238175,0.5517241379310345,-0.7155050493917615,145,0.0194487637811291,-0.0680440258429856,0.5142857142857142,3.611178975221142,0.03506504073872398,2025-10-31 16:27:55
BLK,603,151,185,0.3311623355792354,0.2827146149025827,0.03173421142236394,0.03503658108776517,3.1757113077237618,1.6312876252640174,0.007065500738675713,0.03531849598018654,0.6754966887417219,-0.49485356935704955,151,-0.1085322129030447,0.0452671849714728,0.6842105263157895,3.2842435206268066,0.2374474299311099,2025-10-31 16:27:58
BAC,603,151,185,0.36634291136916053,-0.08048272980985192,0.03764170672534649,0.04269217102720237,3.1649670005050385,2.0771376173356386,0.008388619844696,0.04207475518433903,0.6688741721854304,-0.6043296030485139,151,-1.6684590729190107,0.083046686275475,0.6055045871559633,4.833426073424049,-0.16352941608532692,2025-10-31 16:27:42
