Model,Sharpe,Return,Ann. Return,Max DD,Win Rate,Profit Factor,Trades
XGBoost + Sentiment,1.2831477486430867,0.18541458426598711,0.12719243241562306,-0.08000535805181012,0.5900900900900901,1.5238322134253717,222
XGBoost (Tuned),0.4207862543633956,0.0296244635214228,0.020762669489921,-0.0800053580518101,0.5833333333333334,1.2655476695719128,72
Ridge (Baseline),0.0881880139266476,0.0027122646141812,0.0019084261382371,-0.0415937993032831,0.5,1.08849158070742,12
