Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02 00:00:00-05:00,297.35632188751407,298.59707369212856,296.4280509440613,298.57867431640625,59151200,0.0,0.0,0.0
2020-01-03 00:00:00-05:00,295.16887962392286,297.44818606290164,295.1137376014159,296.3177185058594,77709700,0.0,0.0,0.0
2020-01-06 00:00:00-05:00,294.5531754410407,297.5309857629317,294.4336916748636,297.4482727050781,55653900,0.0,0.0,0.0
2020-01-07 00:00:00-05:00,296.87835736701527,297.35629232301494,296.1614829808418,296.6118469238281,40496400,0.0,0.0,0.0
2020-01-08 00:00:00-05:00,296.80488138030074,299.4150404495262,296.55674223194177,298.19268798828125,68296000,0.0,0.0,0.0
2020-01-09 00:00:00-05:00,299.7642027564707,300.28807996149675,299.17598384953175,300.21453857421875,48473300,0.0,0.0,0.0
2020-01-10 00:00:00-05:00,300.80279505064306,300.95902143443385,298.881939773459,299.35064697265625,53029300,0.0,0.0,0.0
2020-01-13 00:00:00-05:00,299.97564456775115,301.41856494947825,299.5436800075611,301.4093933105469,47086800,0.0,0.0,0.0
2020-01-14 00:00:00-05:00,300.9682919838258,302.02521841228196,300.389272553604,300.9499206542969,62832800,0.0,0.0,0.0
2020-01-15 00:00:00-05:00,300.857927496319,302.3927605127723,300.77521446379967,301.62994384765625,72056600,0.0,0.0,0.0
2020-01-16 00:00:00-05:00,303.0177701581234,304.1390380859375,302.78800237002895,304.1390380859375,54050300,0.0,0.0,0.0
2020-01-17 00:00:00-05:00,304.85592556140824,305.2970617828952,304.074709438756,305.085693359375,95846000,0.0,0.0,0.0
2020-01-21 00:00:00-05:00,304.1205974133801,305.2970072067569,304.0470840722161,304.48822021484375,77742400,0.0,0.0,0.0
2020-01-22 00:00:00-05:00,305.3521828203176,306.0047435161207,304.3687980289673,304.5250244140625,48914900,0.0,0.0,0.0
2020-01-23 00:00:00-05:00,303.8724834410384,305.287860793834,302.7512155728437,304.874267578125,51963000,0.0,0.0,0.0
2020-01-24 00:00:00-05:00,305.53609022564433,305.6188032836752,300.8671919326843,302.1630859375,87578400,0.0,0.0,0.0
2020-01-27 00:00:00-05:00,296.88758495086415,298.8084404988235,296.5475330758045,297.3195495605469,84062500,0.0,0.0,0.0
2020-01-28 00:00:00-05:00,298.7532951052364,301.3175117188692,297.411458947893,300.4352111816406,63834000,0.0,0.0,0.0
2020-01-29 00:00:00-05:00,301.8045859029307,302.03435368828247,299.9848149457274,300.18701171875,53888900,0.0,0.0,0.0
2020-01-30 00:00:00-05:00,298.10987124117054,301.3725902856109,297.35625429923044,301.16119384765625,75491800,0.0,0.0,0.0
2020-01-31 00:00:00-05:00,300.53618148876035,300.69243588133867,294.7736170968783,295.69268798828125,113845600,0.0,0.0,0.0
2020-02-03 00:00:00-05:00,297.18169900280947,299.76428701237734,297.0622152507649,297.8893737792969,69083000,0.0,0.0,0.0
2020-02-04 00:00:00-05:00,301.51963306967,303.3026330734131,301.19795260651244,302.42950439453125,62573200,0.0,0.0,0.0
2020-02-05 00:00:00-05:00,305.3798094066005,306.13345460075504,303.9093177713517,305.92205810546875,65951100,0.0,0.0,0.0
2020-02-06 00:00:00-05:00,306.88707429877513,307.14441311834696,305.86689066016066,306.951416015625,50359700,0.0,0.0,0.0
2020-02-07 00:00:00-05:00,305.8852187055381,306.96051607492444,304.76395095719545,305.3153991699219,64139400,0.0,0.0,0.0
2020-02-10 00:00:00-05:00,304.42397811831904,307.6590987986097,304.3872074151827,307.5947570800781,42070000,0.0,0.0,0.0
2020-02-11 00:00:00-05:00,308.9550272547601,309.7454151499178,307.5947915645025,308.12786865234375,54864500,0.0,0.0,0.0
2020-02-12 00:00:00-05:00,309.5707603835023,310.3244055487138,309.20313748880835,310.113037109375,43992700,0.0,0.0,0.0
2020-02-13 00:00:00-05:00,308.6792991735415,310.75640946058047,308.40358897961266,309.7821960449219,54501900,0.0,0.0,0.0
2020-02-14 00:00:00-05:00,310.19572934064416,310.3979261263313,308.9917483138159,310.2784423828125,64582200,0.0,0.0,0.0
2020-02-18 00:00:00-05:00,309.2766240373906,310.3427498763755,308.0818147817825,309.47882080078125,57226200,0.0,0.0,0.0
2020-02-19 00:00:00-05:00,310.45307917066543,311.63866086497455,310.1681693327002,310.95855712890625,48814700,0.0,0.0,0.0
2020-02-20 00:00:00-05:00,310.407045686799,311.23423206535386,306.67561948884077,309.6809997558594,74163400,0.0,0.0,0.0
2020-02-21 00:00:00-05:00,308.32076368797004,308.6332444766191,305.6646349127194,306.4918212890625,113788200,0.0,0.0,0.0
2020-02-24 00:00:00-05:00,296.9886977552083,306.5654044917158,295.24243993861,296.32696533203125,161088400,0.0,0.0,0.0
2020-02-25 00:00:00-05:00,297.7239165603431,298.3396785364402,286.4652947464969,287.34759521484375,218913200,0.0,0.0,0.0
2020-02-26 00:00:00-05:00,288.75375324576186,292.36569595954006,285.5554037486617,286.2906494140625,194773800,0.0,0.0,0.0
2020-02-27 00:00:00-05:00,280.73952266151736,286.34586342508396,273.43292236328125,273.43292236328125,284353500,0.0,0.0,0.0
2020-02-28 00:00:00-05:00,265.3358217303772,273.7820868720151,262.43155386441146,272.28399658203125,384975800,0.0,0.0,0.0
2020-03-02 00:00:00-05:00,274.0762444015603,284.1400863513578,270.6297270280447,284.07574462890625,238703600,0.0,0.0,0.0
2020-03-03 00:00:00-05:00,284.45256470043904,288.44133073954566,273.4880509250483,275.94195556640625,300139100,0.0,0.0,0.0
2020-03-04 00:00:00-05:00,281.3460279031607,287.7611539878585,278.7818117968944,287.5405578613281,176613400,0.0,0.0,0.0
2020-03-05 00:00:00-05:00,280.2983466782864,283.5058962139264,275.7305616596984,277.9822692871094,186366800,0.0,0.0,0.0
2020-03-06 00:00:00-05:00,269.42567728872103,274.60005187603963,266.74200548377416,273.3868713378906,228667200,0.0,0.0,0.0
2020-03-09 00:00:00-04:00,253.02024994580484,261.19080507877885,251.31999093417147,252.036865234375,309417300,0.0,0.0,0.0
2020-03-10 00:00:00-04:00,261.6045241474462,265.1704979926032,251.36605421657745,265.07861328125,276444100,0.0,0.0,0.0
2020-03-11 00:00:00-04:00,257.9832303599551,259.1228693780073,248.9579467778801,252.1562957763672,255316300,0.0,0.0,0.0
2020-03-12 00:00:00-04:00,235.28224885190082,245.07955211123908,227.6355690327349,228.03077697753906,392220700,0.0,0.0,0.0
2020-03-13 00:00:00-04:00,241.79837819757466,249.5093971009335,228.40752145345206,247.52420043945312,329566100,0.0,0.0,0.0
2020-03-16 00:00:00-04:00,221.66160723675378,236.1094090535033,218.1507621974927,220.4392547607422,297240000,0.0,0.0,0.0
2020-03-17 00:00:00-04:00,225.20918551626332,235.43846579518808,217.88420144738603,232.3411865234375,262070500,0.0,0.0,0.0
