Model,Sharpe,Return,Ann. Return,Max DD,Win Rate,Profit Factor,Trades
XGBoost (Tuned),0.4207862543633956,0.029624463521422895,0.020762669489921004,-0.08000535805181012,0.5833333333333334,1.2655476695719128,72
XGBoost (Default),0.3015564245369757,0.0193803837751715,0.0136032406920807,-0.0800053580518101,0.5573770491803278,1.1859260547988215,61
Ridge (Baseline),0.0881880139266476,0.0027122646141812,0.0019084261382371,-0.0415937993032831,0.5,1.08849158070742,12
