Metric,Without_Regime,With_Regime
Mean Sharpe,1.649785286759105,1.1294467104535673
% Positive,64.70588235294117,41.17647058823529
Worst Loss,-10.029747943132714,-4.615110530282561
Mean Return,16.114753325699883,7.099881380077185
