Date,return_1d,return_5d,return_10d,return_20d,volatility_20d,volatility_60d,volume_ratio,price_position,sma_20,sma_50,trend
2020-03-30 00:00:00-04:00,0.03247564627757282,0.17358146556523435,0.0973047487299008,-0.1485051500264326,0.058272254262832314,0.03507299814744258,0.6240203680958942,0.4628498924939274,242.11468200683595,277.17995483398437,0
2020-03-31 00:00:00-04:00,-0.014905152128650512,0.06004538138480764,0.0255762356590028,-0.13647167687285522,0.0580768748086554,0.035102348841468116,0.7235001781731646,0.42458013609873413,240.23176956176758,275.84391326904296,0
2020-04-01 00:00:00-04:00,-0.045004996428378186,-0.00259321016866898,0.0316560800977439,-0.2085998601165554,0.05757110395776645,0.03550488626011956,0.702038980235999,0.3154740960792816,237.23272323608398,274.3053414916992,0
2020-04-02 00:00:00-04:00,0.023075432414581654,-0.0358728395816893,0.053223849006006185,-0.16249784140185208,0.05775383868958137,0.03567432485116771,0.6590498956144994,0.4261594735868999,234.97414779663086,272.87105377197264,0
2020-04-03 00:00:00-04:00,-0.014454088820160527,-0.0206374794326335,0.0847465733556858,-0.16072933353857966,0.0577381014868335,0.03568373426917526,0.5117154760305642,0.4364676270273495,232.77708282470704,271.36248168945315,0
2020-04-06 00:00:00-04:00,0.06716608535415003,0.012268396823251981,0.18797942868920225,-0.02848895667428364,0.05747672262173724,0.03681859041271622,0.7265331408801589,0.6795642065514526,232.4180694580078,270.2163531494141,0
2020-04-07 00:00:00-04:00,0.001019385524526184,0.028632208120372704,0.0903968213616575,-0.07534502850187896,0.05618418552239411,0.03682174371551358,0.7896116660306656,0.7555804196533339,231.41945190429686,269.1720886230469,0
2020-04-08 00:00:00-04:00,0.03356829987399834,0.11326408888680284,0.11037716113108753,0.004670409650840535,0.05562242902973128,0.03709903490385689,0.6150501613984465,0.9658815055266713,231.47833557128905,268.2300650024414,0
2020-04-09 00:00:00-04:00,0.015217530230543064,0.10471347762363403,0.06508426825711133,0.12787019735048144,0.05071343760748885,0.037167173818732295,0.7919656992375881,0.9523355800324081,232.93625259399414,267.3701071166992,0
2020-04-13 00:00:00-04:00,-0.009130208661497163,0.11068109627824096,0.08775943799758412,0.029559514794583075,0.047332585827583755,0.037174495145810865,0.5011043669292613,0.9119793205852057,233.30208740234374,266.443701171875,0
2020-04-14 00:00:00-04:00,0.02949257406105099,0.07147140118210826,0.08461663751657622,0.1901549868983965,0.039600320945727095,0.03737523487910705,0.60693650118346,0.9833435411354076,235.39796829223633,265.7769836425781,0
2020-04-15 00:00:00-04:00,-0.021247753116847012,0.047637095288135534,0.07763325863504811,0.10519506081187702,0.03871266305525391,0.037453554559025055,0.5690356344810408,0.8928587596840099,236.62002563476562,264.95484375,0
2020-04-16 00:00:00-04:00,0.004824438178878676,0.018501975937715853,0.13386167427170959,0.1697552902522168,0.03638012724923366,0.03746444968358245,0.6453978876657755,0.912967369533943,238.4922317504883,264.0666760253906,0
2020-04-17 00:00:00-04:00,0.027015301771601052,0.03033791579141476,0.13822818208142085,0.1988090669789031,0.0365762455136475,0.03765141205061025,0.7442883207970505,0.9904407147846385,240.68952713012695,263.2480694580078,0
2020-04-20 00:00:00-04:00,-0.017617831484255664,0.021512215698760384,0.1345743075939141,0.2307255923798981,0.035051552148529175,0.03770599941370429,0.5419277214613865,0.9172950780364615,243.1296813964844,262.31550354003906,0
2020-04-21 00:00:00-04:00,-0.030363407105146067,-0.03787977748746674,0.030884302921145856,0.22466934522892945,0.03533017366516863,0.037874751446977634,0.7232530682433003,0.7334581939886521,245.44503173828124,261.2575701904297,0
2020-04-22 00:00:00-04:00,0.02219468376039435,0.004824438178878676,0.052691355688252894,0.1478513081173649,0.030121464202541227,0.03796098097772794,0.5545408868277598,0.827551138206608,247.106778717041,260.26609985351564,0
2020-04-23 00:00:00-04:00,-7.179321472505773e-05,-7.179321472505773e-05,0.018428854406659534,0.13084014017005208,0.03010884115985856,0.03792828412885915,0.6632107740042167,0.8105994600796571,248.59934616088867,259.2635968017578,0
2020-04-24 00:00:00-04:00,0.013938937793396056,-0.012803273613744559,0.017146217540921826,0.08334643482006143,0.02762202932078091,0.03798271220529072,0.5699204667249251,0.9002326229324636,249.60564193725585,258.2933160400391,0
2020-04-27 00:00:00-04:00,0.014418447624227282,0.019390012130920065,0.04131934995304243,0.13270495088093104,0.026490498925091,0.0380341025433225,0.5488293431205361,0.9725039594463727,251.16015167236327,257.40508911132815,0
2020-04-28 00:00:00-04:00,-0.004598955572141072,0.046476473959227604,0.006836177979783198,0.09203126989047372,0.02587305561798881,0.037973012332889085,0.7593742084216382,0.8806317958580852,252.2732192993164,256.48252685546873,0
2020-04-29 00:00:00-04:00,0.026178651033616163,0.05055507864254771,0.05562341667296544,0.1375749024007511,0.0258632595907078,0.03812177859391425,0.8807679364559685,0.9672417873116353,253.91231155395508,255.7142578125,0
2020-04-30 00:00:00-04:00,-0.009310342071224387,0.04084877737549397,0.04077405149572355,0.18009380856749146,0.02319560934560464,0.03807786215462972,0.9346998014303751,0.9125094360031228,255.9614158630371,254.86592163085936,1
2020-05-01 00:00:00-04:00,-0.026473661912801205,-0.0006363687480999136,-0.013431494758643359,0.12294007621965397,0.024189129084812508,0.038177347297150645,0.9714127385516491,0.7565448419588788,257.392504119873,253.90094848632813,1
2020-05-04 00:00:00-04:00,0.0027582643747783298,-0.012123505146814484,0.007031432072239774,0.14255198976866912,0.023721465951312016,0.03817601141844726,0.6411919689027461,0.7578684316233435,259.0279006958008,253.0141815185547,1
