Date,Adj Close,Close,High,Low,Open,Volume,return_1d,return_5d,return_10d,return_20d,volatility_20d,volatility_60d,volume_ratio,price_position,sma_20,sma_50,sma_200,momentum_10,momentum_20,momentum_60,trend,rsi,macd,macd_signal,macd_diff,bb_middle,bb_upper,bb_lower,bb_width,bb_position,atr,target,fear_greed_value,fear_greed_classification,VIX,BTC_Close,BTC_Volume,BTC_return_1d,BTC_return_5d,BTC_return_10d,rsi_7,rsi_30,stoch_k,stoch_d,willr,roc,sma_10,trend_alignment,hist_vol_20,hist_vol_60,vol_ratio,parkinson_vol,atr_20,plus_di,minus_di,adx,di_diff,aroon_up,aroon_down,aroon_osc,trend_strength,linreg_slope_20,linreg_slope_50,obv,mfi,ad,vwap,volume_sma_20,volume_ratio_adv,volume_trend,obv_slope,pv_corr,higher_high,lower_low,gap_up,gap_down,body_size,upper_shadow,lower_shadow,is_doji,bullish_engulfing,bearish_engulfing,resistance_20,support_20,distance_to_resistance,distance_to_support,weekly_return,weekly_high,weekly_low,weekly_range,position_in_weekly_range,monthly_return,monthly_high,monthly_low,position_in_monthly_range,spread,spread_ma,spread_ratio,price_impact,liquidity,intraday_vol,overnight_return,intraday_momentum,fear_greed_ma5,fear_greed_ma10,fear_greed_extreme_fear,fear_greed_extreme_greed,fear_greed_change_5d,vix_ma5,vix_ma20,vix_regime,vix_spike,vix_zscore,btc_return_5d,btc_return_10d,btc_volatility_10d,btc_momentum,composite_sentiment,rsi_research_14,rsi_research_30,rsi_14_ma,rsi_divergence,macd_research,macd_signal_research,macd_crossover,atr_research_14,bollinger_pct_b_research,bb_width_research,bb_squeeze,adx_research,stochastic_k_research,momentum
2021-10-14,223.2598114013672,244.5500030517578,245.4199981689453,242.0399932861328,242.8800048828125,2512000,0.0078302460460146,-0.0151820399535452,0.0142673569437108,0.0055096266637872,0.0086109678791938,0.0081516554576932,0.9474650971132864,0.9132933919072288,244.31650085449215,240.6920001220703,229.30670021057128,0.0142673569437108,0.0055096266637872,0.0365363058685901,1,46.182128353161225,1.2661717295293895,1.5547420220332224,-0.2885702925038327,244.31650085449215,249.420183130604,239.2128185783804,0.041779267943522,0.5228758555718254,3.704287937709264,-0.0128808387485759,70.0,Greed,16.860000610351562,57321.5234375,36615791366,-0.0013862839213726,0.0428120224291521,0.1671377723983076,46.86037316004809,56.55201027499224,46.268733763818155,39.21752866220229,-53.731266236181845,1.426735694371084,245.26500091552734,1,0.008610967879193751,0.008151655457693157,1.056345907145415,0.008948225322112039,3.7250022888183536,16.06244036320966,25.163864172732087,14.537208975234538,-9.101423809522426,80.0,0.0,80.0,0.8,0.18979700991981482,0.21900125821812924,7556200,49.5763369787658,12436487.50988989,227.69556379492604,2651285.0,0.9474650971132865,0,-0.45231830800118866,-0.553096097961529,0,0,0,0,0.006828861779207852,0.25739463324786016,0.24852378200729533,0,0,0,249.9499969482422,236.63999938964844,0.02208134871845204,0.03234513826783826,-0.0151820399535452,249.6300048828125,239.8999938964844,0.04055861289653282,0.47790379289471135,0.0055096266637872,249.9499969482422,236.63999938964844,0.5942903916614314,3.3800048828125,3.510002899169912,0.9629635586944514,0.008255702892859684,614309607.6660156,0.01391635710993716,0.000947912598861306,0.006875815774752937,72.6,64.7,0,0,-6.0,18.82400016784668,20.792999935150146,0,0,-0.8339613827621092,0.0428120224291521,0.1671377723983076,0.04165342985774388,1,0.7604625882563042,46.182128353161225,56.55201027499224,58.095261319799256,-11.913132966638031,1.266172079699686,1.554742536989508,0,3.7042879377092555,0.5228758555718254,0.041779267943522,0,14.537208975234538,46.268733763818155,3.4400024414062216
2021-10-15,221.16000366210935,242.25,246.3800048828125,241.9900054931641,245.2400054931641,2564700,-0.0094050420079979,-0.0220024102357214,-0.0027991301868138,-0.000989754166057,0.0088568671292369,0.0081232661754159,1.0090530316442996,0.8603954510009805,244.304500579834,240.8086001586914,229.4601502227783,-0.0027991301868138,-0.000989754166057,0.0149997982927059,1,38.32670194625385,0.9727544508539552,1.438344507797369,-0.4655900569434139,244.304500579834,249.4273581505847,239.18164300908327,0.0419382987918117,0.2994770934522668,3.7592882428850447,-0.0157275441015222,71.0,Greed,16.299999237060547,61593.94921875,51780081801,0.0745344074099565,0.124560425813913,0.1956551180061074,28.13347899548161,52.40793481026259,23.383138208147823,32.338349247511566,-76.61686179185217,-0.27991301868138807,245.1970016479492,1,0.008856867129236827,0.008123266175415776,1.0903086194616174,0.009143029510135674,3.8070022583007743,14.763441090908508,24.89068359213058,13.923652200647094,-10.12724250122207,76.0,24.0,52.0,0.52,0.13143616869932828,0.21220509468435764,4991500,41.93303600416424,10175572.477721268,227.77018600683417,2541690.0,1.0090530316442996,0,-0.5877927526178442,-0.5582699302484754,1,0,0,0,0.01234264393462989,0.2596809904658576,0.059224269472331705,0,0,1,249.9499969482422,236.63999938964844,0.031785333119678794,0.0231578972563532,-0.0220024102357214,249.13999938964844,239.8999938964844,0.03851607223112748,0.2543295136841839,-0.000989754166057,249.9499969482422,236.63999938964844,0.42148772647440513,4.389999389648409,3.592002868652332,1.2221592103837806,-0.009311433868662435,621298575.0,0.01790082894844323,0.002821518841936971,-0.01219216043953088,72.0,69.1,0,0,-3.0,18.329999923706055,20.567499923706055,0,0,-1.0585723900209512,0.124560425813913,0.1956551180061074,0.037462159398964856,1,0.7756350425142835,38.326701946253785,52.40793481026259,55.19888840770823,-16.872186461454383,0.97275477508569,1.4383449846087446,0,3.7592882428850323,0.2994770934522668,0.0419382987918117,0,13.923652200647094,23.383138208147823,-0.67999267578125
2021-10-18,221.16917419433597,242.25999450683597,243.4499969482422,241.1300048828125,242.4199981689453,2484900,4.125699416279716e-05,-0.0175196986460346,-0.0033734051260566,0.013258598090676,0.0082215945697367,0.0077840343778485,1.0190531651383672,0.8606253154055475,244.46300048828124,240.9286001586914,229.59855018615724,-0.0033734051260566,0.013258598090676,-0.0028811828600896,1,46.364929355619815,0.7325808803474843,1.2971917823073922,-0.5646109019599079,244.46300048828124,249.0774842582834,239.8485167182791,0.037752001413591,0.2612944273673029,3.553573608398437,-0.0203087520866201,78.0,Extreme Greed,16.309999465942383,62026.078125,38055562075,0.0076755998930302,0.0805730318337636,0.1493153946045275,19.33198146091803,53.55517112502704,23.482586007163345,31.044819326376444,-76.51741399283665,-0.337340512605655,245.11500091552733,1,0.008221594569736647,0.007784034377848443,1.0562125204808188,0.008736974230580702,3.6305015563964758,15.618089459695117,23.29643008963892,14.083756418179524,-7.678340629943804,72.0,20.0,52.0,0.52,0.019894661580706064,0.20448069779669445,7476400,42.64186832581189,10111293.874299929,227.83609552671643,2438440.0,1.0190531651383672,0,-0.295025082035228,-0.35707684452490185,0,1,0,0,0.0006604625845677202,0.44396650947429345,0.4870661589155822,1,0,0,249.9499969482422,239.3999938964844,0.031742766514383076,0.011805501012140328,-0.0175196986460346,248.6000061035156,239.8999938964844,0.036265162269179564,0.2712640573589371,0.013258598090676,249.9499969482422,239.3999938964844,0.2710900268294278,2.3199920654296875,3.4420021057128793,0.6740240110774685,4.044592534272542e-05,601991860.3500367,0.009570134819540993,0.0007017468274316305,-0.0006600266616528813,73.4,71.5,0,1,7.0,17.591999816894532,20.097499942779542,0,0,-1.0420815872954379,0.0805730318337636,0.1493153946045275,0.03779663558294397,1,0.7834801337600825,46.36492935561994,53.55517112502704,54.123592501899616,-7.758663146279801,0.7325811805621072,1.2971922237994171,0,3.553573608398421,0.2612944273673029,0.037752001413591,0,14.083756418179524,23.482586007163345,-0.8200073242187216
2021-10-19,221.6347503662109,242.7700042724609,243.92999267578125,241.52999877929688,243.22000122070312,2071600,0.0021052166151627,-0.0071568786578706,-0.0099910159695217,0.0094386872035798,0.0081385126852504,0.0077694951797311,0.8484582887076328,0.8723550678608853,244.5765007019043,241.090400390625,229.76130020141602,-0.0099910159695217,0.0094386872035798,-0.0049593879673207,1,46.364968758838806,0.5767467436718334,1.1531027745802804,-0.576356030908447,244.5765007019043,248.8818744444431,240.27112695936552,0.0352067654102736,0.2902044587216118,3.5421436854771207,-0.0261564690520375,75.0,Greed,15.699999809265137,64261.9921875,40471196346,0.036047967727284,0.1210796282755373,0.169075314466135,24.76979109400733,57.11196922913519,28.55730850225493,25.14101090585537,-71.44269149774507,-0.9991015969521899,244.87000122070313,1,0.00813851268525036,0.007769495179730991,1.0474956862682738,0.00868290378461455,3.5875007629394475,16.636414742343828,23.371603889436514,14.60330866790117,-6.735189147092687,68.0,16.0,52.0,0.52,-0.06686469056553068,0.19351070115546223,9548000,48.47129062122172,10180362.134666346,227.89233470184504,2441605.0,0.8484582887076328,0,0.15614215656596234,-0.4370385013785659,0,0,0,0,0.0018535936908300422,0.29583052528514936,0.5166702694454569,0,0,0,249.9499969482422,239.8999938964844,0.029575287512551052,0.011821931562663283,-0.0071568786578706,246.3800048828125,239.8999938964844,0.027011301172121693,0.44290208489334665,0.0094386872035798,249.9499969482422,239.8999938964844,0.2855730850225493,2.399993896484375,3.4145011901855384,0.7028827236560322,0.002478304871644233,502922340.85083,0.009867584427427776,0.003962712522228139,-0.0018501642380713537,72.8,73.1,0,0,-3.0,16.761999702453615,19.66449990272522,0,0,-1.2743627223873137,0.1210796282755373,0.169075314466135,0.03702061810988177,1,0.7826084389501068,46.364968758838714,57.11196922913519,52.98542403063907,-6.62045527180026,0.5767470216482877,1.1531031833691912,0,3.5421436854771065,0.2902044587216118,0.0352067654102736,0,14.60330866790117,28.55730850225493,-2.449996948242216
2021-10-20,218.8502960205078,239.72000122070312,242.6499938964844,239.2899932861328,240.3999938964844,3040200,-0.0125633438978515,-0.0120749752708883,-0.0298664698523757,-0.0140254332810669,0.008248374087848,0.0078269177217976,1.253421946634124,0.802207821285514,244.40600051879883,241.2158004760742,229.90250022888185,-0.0298664698523757,-0.0140254332810669,-0.0269129479137361,1,46.63439051045539,0.2047767721341813,0.9634375740910608,-0.7586608019568793,244.40600051879883,249.19544033565157,239.61656070194613,0.039192489600797,0.0107988118352608,3.4621451241629466,0.0125562927227951,82.0,Extreme Greed,15.489999771118164,65992.8359375,40788955582,0.0269341751022882,0.0714175138068744,0.2048737355511427,20.683826895312933,51.173213051193684,4.033844154282622,18.691246221233637,-95.96615584571738,-2.986646985237562,244.1320007324219,1,0.008248374087847928,0.007826917721797551,1.0538470418408312,0.008546646401082178,3.493501281738273,17.020826486243568,23.726000556581887,15.662949679769186,-6.70517407033832,64.0,12.0,52.0,0.52,-0.1590826622525547,0.17157504041655705,6507800,48.648316209412336,7918322.7806216255,227.96204678021593,2425520.0,1.2534219466341239,0,0.29015502953887634,-0.4883504220594308,0,0,0,0,0.002836612182206812,0.6696427355007414,0.12797852870786128,0,0,0,249.9499969482422,239.2899932861328,0.04267476921177139,0.0017937924761414334,-0.0120749752708883,246.3800048828125,239.2899932861328,0.029629369366071873,0.060649821048485854,-0.0140254332810669,249.9499969482422,239.2899932861328,0.040338441542826224,3.360000610351591,3.3630012512206946,0.9991077491071362,-0.010015245612978611,728796747.7111816,0.013976708384603364,-0.009762369049994503,-0.002828588573401052,75.2,74.5,0,1,12.0,16.13199977874756,19.395499849319457,0,0,-1.3166465636059066,0.0714175138068744,0.2048737355511427,0.03216393208038786,1,0.8187495794707219,46.6343905104553,51.173213051193684,52.47629528967996,-5.841904779224571,0.20477702951978927,0.9634379525993109,0,3.46214512416293,0.0107988118352608,0.039192489600797,0,15.662949679769186,4.033844154282622,-7.380004882812472
2021-10-21,220.38401794433597,241.3999938964844,241.91000366210935,239.30999755859372,240.1699981689453,2702400,0.0070081456166626,-0.0128808387485759,-0.0278673212936051,-0.013808337689633,0.0082590682380221,0.0075128852859324,1.1196761623414424,0.8408460975340989,244.2370002746582,241.3328002929688,230.05450019836425,-0.0278673212936051,-0.013808337689633,-0.001571696934118,1,46.27012244205614,0.0450301785742794,0.7797560949877045,-0.734725916413425,244.2370002746582,249.20604052553816,239.26796002377827,0.040690315106163,0.2145317571465185,3.330716814313616,0.0169842842053831,84.0,Extreme Greed,15.010000228881836,62210.171875,45908121370,-0.0573193136612958,0.0216446872860187,0.0822023162920952,36.21906293429175,52.87331576034399,19.793619938907874,17.46159086514848,-80.20638006109212,-2.786732129360503,243.43999938964845,1,0.008259068238022036,0.007512885285932259,1.0993204240036767,0.008566662708396922,3.4825019836425697,17.692459225392156,23.439812090920505,16.218473243446866,-5.747352865528349,60.0,8.0,52.0,0.52,-0.19612037830783194,0.15813301443624397,9210200,49.577376479611594,9560532.661251344,228.0249302903259,2413555.0,1.1196761623414424,0,0.2188930944125354,-0.529052438209433,0,0,0,0,0.005095259977788275,0.19615714168337076,0.3307686890383574,0,0,0,249.9499969482422,239.2899932861328,0.03541840624662212,0.008740682119720301,-0.0128808387485759,246.3800048828125,239.2899932861328,0.029629369366071873,0.2976018560166703,-0.013808337689633,249.9499969482422,239.2899932861328,0.19793619938907875,2.600006103515625,3.3720016479492103,0.7710571864924506,0.00625349753315034,652359343.5058595,0.010825690649698367,0.0018771773149954584,0.00512135461096961,78.0,75.3,0,1,14.0,15.761999702453613,19.21449990272522,0,0,-1.4661370942503757,0.0216446872860187,0.0822023162920952,0.03756443939454562,1,0.7865257711436908,46.27012244205619,52.87331576034399,51.96841309253609,-5.698290650479947,0.0450304168942921,0.7797564454583071,0,3.3307168143136,0.2145317571465185,0.040690315106163,0,16.218473243446866,19.793619938907874,-6.920013427734347
2021-10-22,217.68170166015625,238.44000244140625,242.2400054931641,238.0,240.7100067138672,3283700,-0.0122617710435709,-0.0157275441015222,-0.0373839104599216,-0.0323837179889433,0.0084554382414434,0.0075767555426109,1.3390286669657057,0.7727690343519192,243.83800048828124,241.368200378418,230.1868002319336,-0.0373839104599216,-0.0323837179889433,-0.0228669852198851,1,40.05146891875357,-0.3167652478799994,0.5604518264141638,-0.8772170742941632,243.83800048828124,249.3236689415723,238.3523320349902,0.0449943687391306,0.0079908590140406,3.422860281808036,0.0298188245996968,75.0,Greed,15.43000030517578,60692.265625,38434082775,-0.0243996472642762,-0.0139935165772016,0.0829964163412275,33.03791211628629,49.273665771229886,3.68202973868519,9.1698312772919,-96.31797026131481,-3.738391045992162,242.51399993896484,1,0.008455438241443378,0.007576755542610759,1.1159708392188468,0.008811901538444546,3.564501953124993,17.654421860551842,25.542527148646922,17.070160715654513,-7.88810528809508,56.00000000000001,100.0,-43.99999999999999,0.43999999999999995,-0.24446624526404023,0.13990732401358816,5926500,41.65148515236262,6958358.201336198,228.09279419723742,2452300.0,1.3390286669657057,0,0.1873184413502955,-0.6288233975923763,0,0,0,0,0.009520232549983989,0.3608483012023521,0.10377402626379607,0,0,0,249.9499969482422,238.0,0.048272078464117525,0.0018453381852920224,-0.0157275441015222,243.92999267578125,238.0,0.02491593561252626,0.07419949154461336,-0.0323837179889433,249.9499969482422,238.0,0.0368202973868519,4.240005493164091,3.4770019531249945,1.2194429426055797,-0.00915037964921739,782965436.0168457,0.017614579265099684,-0.002858273405396571,-0.009430452449612116,78.8,75.4,0,0,4.0,15.58799991607666,19.098499917984007,0,0,-1.2625759523271758,-0.0139935165772016,0.0829964163412275,0.03939604035913683,1,0.7550404708421766,40.05146891875355,49.273665771229886,50.98480224062683,-10.933333321873256,-0.31676502721330735,0.5604521509239844,0,3.4228602818080254,0.0079908590140406,0.0449943687391306,0,17.070160715654513,3.68202973868519,-9.259994506835938
2021-10-25,216.67745971679688,237.33999633789065,239.25,236.5,239.22999572753903,3178400,-0.00461334546323,-0.0203087520866201,-0.0374726475162202,-0.0434081828461838,0.0082369871097614,0.0075689142804446,1.2774637216621014,0.7474699123286633,243.2995002746582,241.3386001586914,230.2941502380371,-0.0374726475162202,-0.0434081828461838,-0.0221252120943958,1,32.3159907515971,-0.6843631173439064,0.3114888376625497,-0.9958519550064562,243.2995002746582,249.1234811088588,237.47551944045765,0.047874992160904,-0.0116349200336631,3.342859540666853,0.0557849738664142,72.0,Greed,15.239999771118164,63039.82421875,31064911614,0.0346128236844363,-0.044747458974891,0.0234743025628214,18.949154458102768,46.130767768567075,6.245327349315381,9.90699234230282,-93.75467265068463,-3.7472647516220148,241.58999938964843,1,0.008236987109761356,0.007568914280444496,1.0882653448781858,0.008728631835322409,3.5210021972656165,13.653835055869127,29.358932433282735,19.06330058796674,-15.705097377413608,52.0,100.0,-48.0,0.48,-0.26984224247753585,0.12418872407361105,2748100,33.837111163420246,5721663.1906828545,228.14717477571412,2488055.0,1.2774637216621014,1,-0.6324300465464662,-0.7121054110271537,0,1,0,0,0.00796325701024142,0.007274280894896699,0.30545321377841944,0,0,0,249.9499969482422,236.5,0.053130533432718285,0.003539211051030721,-0.0203087520866201,243.92999267578125,236.5,0.031416459517045456,0.11305480025958832,-0.0434081828461838,249.9499969482422,236.5,0.062453273493153806,2.75,3.433502197265618,0.8009314810370742,-0.003608507136387332,754361444.3603517,0.01149521401627243,0.0033131742914107518,-0.007900344536229963,77.6,75.5,0,0,-6.0,15.373999977111817,18.922499895095825,0,0,-1.299958915869017,-0.044747458974891,0.0234743025628214,0.03803646929948449,1,0.7259914351412814,32.3159907515971,46.130767768567075,49.171008964372795,-16.855018212775697,-0.6843629130229374,0.3114891381346,0,3.3428595406668444,-0.0116349200336631,0.047874992160904,0,19.06330058796674,6.245327349315381,-9.240005493164034
2021-10-26,215.83758544921875,236.4199981689453,238.3999938964844,236.13999938964844,237.47000122070312,3066400,-0.0038762879545828,-0.0261564690520375,-0.0331261490347842,-0.0301513967046599,0.0074281364251602,0.0074599007175029,1.2309915696507427,0.7263108061537684,242.93199996948243,241.24760009765623,230.40510025024415,-0.0331261490347842,-0.0301513967046599,-0.0153269797626899,1,24.953103607211133,-1.037958303565233,0.0415994094169931,-1.0795577129822262,242.93199996948243,249.5097794911731,236.35422044779176,0.0541532570638449,0.0049999943701856,3.208573477608817,0.0542255622346194,76.0,Extreme Greed,15.979999542236328,60363.79296875,34878965587,-0.0424498526632005,-0.029679694664081,-0.0086774150878108,21.505355494135884,45.36872968685155,2.027507811705847,3.984954966568811,-97.97249218829415,-3.312614903478417,240.77999877929688,0,0.0074281364251601945,0.007459900717502759,0.9957419952965275,0.008421409358787312,3.3740020751953024,13.601951710651367,31.389095815418973,21.866772309753763,-17.787144104767606,48.0,100.0,-52.0,0.52,-0.36069183349609857,0.11171285164456647,-318300,27.10372259967528,3415077.6541595617,228.1952010491714,2491000.0,1.2309915696507427,1,-1.0333368244658567,-0.7514832332552636,0,1,0,0,0.0044412615679299775,0.4115021841726887,0.12389356631175111,0,0,0,249.9499969482422,236.13999938964844,0.057228656137745006,0.0011843278126446324,-0.0261564690520375,242.6499938964844,236.13999938964844,0.027568368441019574,0.0430106014686888,-0.0301513967046599,249.9499969482422,236.13999938964844,0.02027507811705847,2.259994506835966,3.306501770019524,0.6835001654399905,-0.003146359155429683,724958282.3852539,0.009516968439038922,0.0005477580046280495,-0.00442162397928295,77.8,75.3,0,1,1.0,15.429999923706054,18.558999872207643,0,0,-0.9754110170934833,-0.029679694664081,-0.0086774150878108,0.0401309727521327,1,0.7255241968780783,24.953103607211162,45.36872968685155,46.870237743748824,-21.91713413653769,-1.0379581143791654,0.041599687631846904,0,3.208573477608811,0.0049999943701856,0.0541532570638449,0,21.866772309753763,2.027507811705847,-8.100006103515597
2021-10-27,221.5982208251953,242.72999572753903,244.6199951171875,238.8500061035156,241.0500030517578,5249400,0.0266897792380687,0.0125562927227951,0.0003297005277849,-0.0063451901895504,0.0097333906590148,0.0080417082514449,1.967895273512476,0.871434908366573,242.85449981689453,241.2966000366211,230.56075019836425,0.0003297005277849,-0.0063451901895504,0.0243933270890035,1,39.41687316956772,-0.7998013558614332,-0.126680743638692,-0.6731206122227411,242.85449981689453,249.4018608886764,236.30713874511264,0.0539200309380177,0.4904920403815774,3.590716770717076,0.0315988889051634,73.0,Greed,16.979999542236328,58482.38671875,43657076893,-0.0311677937629597,-0.0364112112720294,-0.0498952069606998,51.42166138962976,51.534817368402734,48.85095370220581,19.041262954409017,-51.14904629779419,0.032970052778469316,240.78799896240236,0,0.009733390659014816,0.008041708251444771,1.2103635638940418,0.008900410010917372,3.6560012817382725,18.97752524892277,28.048500271816856,22.713033645947036,-9.070975022894086,44.0,96.0,-52.0,0.52,-0.3422934166470933,0.11283120548023878,4931100,32.278450005165695,5225523.863255581,228.32303145728696,2667520.0,1.967895273512476,1,-0.24227849657334274,-0.498767328927079,0,0,1,0,0.006921240495002478,0.3275568437253763,0.3812826927450565,0,0,0,249.9499969482422,236.13999938964844,0.02974498969137503,0.027149493074138945,0.0125562927227951,244.6199951171875,236.13999938964844,0.0359108823132774,0.7771226011929898,-0.0063451901895504,249.9499969482422,236.13999938964844,0.47719026089108485,5.769989013671903,3.46700057983398,1.6642596044642726,0.013555712991506444,1274186839.5721433,0.02393689666302548,0.019583812362200876,0.006969477927865849,76.0,75.6,0,0,-9.0,15.727999877929687,18.279999876022337,0,0,-0.571635597718171,-0.0364112112720294,-0.0498952069606998,0.041419476691855514,1,0.697618266253782,39.41687316956763,51.534817368402734,45.36126473446244,-5.944391564894715,-0.7998011806891725,-0.126680486032357,0,3.590716770717068,0.4904920403815774,0.0539200309380177,0,22.713033645947036,48.85095370220581,0.08000183105463066
